keys,en,zh_CN,ja,ko,pt_BR,es,ru
Paintings: %d,Paintings: %d,画作: %d,絵画: %d,그림: %d,Pinturas: %d,Pinturas: %d,Картины: %d
Status: %s,Status: %s,状态: %s,状態: %s,상태: %s,Status: %s,Estado: %s,Статус: %s
WIP,WIP,进行中,制作中,작업 중,EM ANDAMENTO,EN PROGRESO,В РАБОТЕ
DONE,DONE,已完成,完了,완료,CONCLUÍDO,COMPLETADO,ГОТОВО
SHIPPED,SHIPPED,已发货,発送済み,발송됨,ENVIADO,ENVIADO,ОТПРАВЛЕНО
$%d,$%d,$%d,$%d,$%d,$%d,$%d,$%d
Missions Completed: %d,Missions Completed: %d,已完成任务: %d,完了ミッション: %d,완료된 미션: %d,Missões Concluídas: %d,Misiones Completadas: %d,Заданий выполнено: %d
Total Earnings: $%d,Total Earnings: $%d,总收入: $%d,総収入: $%d,총 수입: $%d,Ganhos Totais: $%d,Ganancias Totales: $%d,Общий доход: $%d
Paintings Created: %d,Paintings Created: %d,创作画作: %d,作成した絵画: %d,제작한 그림: %d,Pinturas Criadas: %d,Pinturas Creadas: %d,Создано картин: %d
Quit (Main Menu),Quit (Main Menu),退出 (主菜单),終了 (メインメニュー),종료 (메인 메뉴),Sair (Menu Principal),Salir (Menú Principal),Выйти (Главное меню)
Completed - Grade: %s,Completed - Grade: %s,已完成 - 评级: %s,完了 - 評価: %s,완료 - 등급: %s,Concluído - Nota: %s,Completado - Nota: %s,Завершено — Оценка: %s
"Completed - Grade: %s (%.1f%%)","Completed - Grade: %s (%.1f%%)",已完成 - 评级: %s (%.1f%%),完了 - 評価: %s (%.1f%%),완료 - 등급: %s (%.1f%%),"Concluído - Nota: %s (%.1f%%)","Completado - Nota: %s (%.1f%%)","Завершено — Оценка: %s (%.1f%%)"
Difficulty: %d/10,Difficulty: %d/10,难度: %d/10,難易度: %d/10,난이도: %d/10,Dificuldade: %d/10,Dificultad: %d/10,Сложность: %d/10
Score: %.1f%%,Score: %.1f%%,得分: %.1f%%,スコア: %.1f%%,점수: %.1f%%,Pontuação: %.1f%%,Puntuación: %.1f%%,Оценка: %.1f%%
"PASSED! (%.0f%% required)","PASSED! (%.0f%% required)",通过！(需要%.0f%%),合格！(%.0f%%必要),합격! (%.0f%% 필요),"APROVADO! (%.0f%% necessário)","¡APROBADO! (%.0f%% requerido)","ЗАЧТЕНО! (требуется %.0f%%)"
"Failed (%.0f%% required)","Failed (%.0f%% required)",失败 (需要%.0f%%),不合格 (%.0f%%必要),불합격 (%.0f%% 필요),"Reprovado (%.0f%% necessário)","Reprobado (%.0f%% requerido)","Не сдано (требуется %.0f%%)"
Great work! Mission completed.,Great work! Mission completed.,干得好！任务完成。,よくできました！ミッション完了。,잘했습니다! 미션 완료.,Ótimo trabalho! Missão concluída.,¡Buen trabajo! Misión completada.,Отличная работа! Задание выполнено.
"Precision: %.1f%% (weight: 30%%)","Precision: %.1f%% (weight: 30%%)",精确度: %.1f%% (权重: 30%%),精度: %.1f%% (ウェイト: 30%%),정밀도: %.1f%% (가중치: 30%%),"Precisão: %.1f%% (peso: 30%%)","Precisión: %.1f%% (peso: 30%%)","Точность: %.1f%% (вес: 30%%)"
"Color Field: %.1f%% (weight: 70%%)","Color Field: %.1f%% (weight: 70%%)",色彩: %.1f%% (权重: 70%%),色彩フィールド: %.1f%% (ウェイト: 70%%),색상 필드: %.1f%% (가중치: 70%%),"Campo de Cor: %.1f%% (peso: 70%%)","Campo de Color: %.1f%% (peso: 70%%)","Цветовое поле: %.1f%% (вес: 70%%)"
"Match score: %.1f%% (need %.1f%% to pass)","Match score: %.1f%% (need %.1f%% to pass)",匹配分数: %.1f%% (需要%.1f%%才能通过),マッチスコア: %.1f%% (合格には%.1f%%必要),일치 점수: %.1f%% (통과하려면 %.1f%% 필요),"Pontuação de correspondência: %.1f%% (necessário %.1f%% para passar)","Puntuación de coincidencia: %.1f%% (se necesita %.1f%% para pasar)","Совпадение: %.1f%% (нужно %.1f%% для прохождения)"
"Breakdown - Precision: %.1f%%, Color Field: %.1f%%","Breakdown - Precision: %.1f%%, Color Field: %.1f%%","明细 - 精确度: %.1f%%, 色彩: %.1f%%","内訳 - 精度: %.1f%%, 色彩フィールド: %.1f%%","내역 - 정밀도: %.1f%%, 색상 필드: %.1f%%","Detalhamento - Precisão: %.1f%%, Campo de Cor: %.1f%%","Desglose - Precisión: %.1f%%, Campo de Color: %.1f%%","Разбивка - Точность: %.1f%%, Цветовое поле: %.1f%%"
Best Score: %.1f%%,Best Score: %.1f%%,最高分: %.1f%%,最高スコア: %.1f%%,최고 점수: %.1f%%,Melhor Pontuação: %.1f%%,Mejor Puntuación: %.1f%%,Лучший результат: %.1f%%
No saved painting available,No saved painting available,无已保存的画作,保存された絵がありません,저장된 그림 없음,Nenhuma pintura salva disponível,No hay pintura guardada disponible,Нет сохранённой картины
Failed to load painting,Failed to load painting,画作加载失败,絵の読み込みに失敗,그림 로드 실패,Falha ao carregar pintura,Error al cargar la pintura,Не удалось загрузить картину
Camera Zones: ON,Camera Zones: ON,相机区域: 开,カメラゾーン: オン,카메라 영역: 켜짐,Zonas de Câmera: ATIVADO,Zonas de Cámara: ACTIVADO,Зоны камеры: ВКЛ
Camera Zones: OFF,Camera Zones: OFF,相机区域: 关,カメラゾーン: オフ,카메라 영역: 꺼짐,Zonas de Câmera: DESATIVADO,Zonas de Cámara: DESACTIVADO,Зоны камеры: ВЫКЛ
" Rotate Y"," Rotate Y", Y轴旋转, Y軸回転, Y축 회전," Girar Y"," Rotar Y"," Поворот Y"
" Rotate X"," Rotate X", X轴旋转, X軸回転, X축 회전," Girar X"," Rotar X"," Поворот X"
" Drop"," Drop", 丢下, 落とす, 내려놓기," Soltar"," Soltar"," Бросить"
" Throw"," Throw", 投掷, 投げる, 던지기," Arremessar"," Lanzar"," Кинуть"
" Place"," Place", 放置, 配置, 배치," Colocar"," Colocar"," Поставить"
" Rotate"," Rotate", 旋转, 回転, 회전," Girar"," Rotar"," Повернуть"
" Scale"," Scale", 缩放, スケール, 크기," Escala"," Escala"," Масштаб"
" Cycle"," Cycle", 切换, 切替, 순환," Ciclo"," Ciclo"," Цикл"
" Undo"," Undo", 撤销, 取消, 실행취소," Desfazer"," Deshacer"," Отменить"
Mission Name,Mission Name,任务名称,ミッション名,미션 이름,Nome da Missão,Nombre de la Misión,Название задания
Awaiting next painting...,Awaiting next painting...,等待下一幅画作...,次の絵を待っています...,다음 그림을 기다리는 중...,Aguardando próxima pintura...,Esperando la próxima pintura...,Ожидание следующей картины...
Uploading painting...,Uploading painting...,上传画作中...,絵をアップロード中...,그림 업로드 중...,Enviando pintura...,Subiendo pintura...,Загрузка картины...
Getting critique...,Getting critique...,获取评论中...,批評を取得中...,비평 가져오는 중...,Obtendo crítica...,Obteniendo crítica...,Получение критики...
"Upload failed — no critique available.","Upload failed — no critique available.",上传失败——无法获取评论。,アップロード失敗——批評を取得できません。,업로드 실패 — 비평을 받을 수 없습니다.,"Falha no envio — crítica indisponível.","Error al subir — crítica no disponible.","Ошибка загрузки — критика недоступна."
Failed to request critique.,Failed to request critique.,请求评论失败。,批評のリクエストに失敗しました。,비평 요청 실패.,Falha ao solicitar crítica.,Error al solicitar crítica.,Не удалось запросить критику.
Critique unavailable.,Critique unavailable.,评论不可用。,批評は利用できません。,비평을 이용할 수 없습니다.,Crítica indisponível.,Crítica no disponible.,Критика недоступна.
SHOP,SHOP,商店,ショップ,상점,LOJA,TIENDA,МАГАЗИН
OWNED,OWNED,已拥有,所持済み,보유 중,ADQUIRIDO,ADQUIRIDO,КУПЛЕНО
BUY,BUY,购买,購入,구매,COMPRAR,COMPRAR,КУПИТЬ
LOCKED,LOCKED,已锁定,ロック済み,잠금됨,BLOQUEADO,BLOQUEADO,ЗАПЕРТО
Select an item,Select an item,选择一个物品,アイテムを選択,아이템 선택,Selecione um item,Selecciona un artículo,Выберите предмет
"Not enough money","Not enough money",钱不够,お金が足りません,돈이 부족합니다,"Dinheiro insuficiente","Dinero insuficiente","Недостаточно денег"
"Can't afford this item","Can't afford this item",买不起这个物品,このアイテムは買えません,이 아이템을 구매할 수 없습니다,"Não é possível comprar este item","No puedes comprar este artículo","Недостаточно средств"
"Move out of the item's spawn zone first","Move out of the item's spawn zone first",请先离开物品生成区域,アイテムのスポーン地点から離れてください,아이템 생성 구역을 벗어나세요,"Saia da zona de geração do item primeiro","Sal primero de la zona de aparición del artículo","Сначала выйдите из зоны появления предмета"
"↑ ↓  scroll     →  /  A    buy     ←  /  B    back","↑ ↓  scroll     →  /  A    buy     ←  /  B    back",↑↓ 滚动  →/A 购买  ←/B 返回,↑↓ スクロール  →/A 購入  ←/B 戻る,↑↓ 스크롤  →/A 구매  ←/B 뒤로,"↑ ↓  rolar     →  /  A    comprar     ←  /  B    voltar","↑ ↓  desplazar     →  /  A    comprar     ←  /  B    volver","↑ ↓  прокрутка     →  /  A    купить     ←  /  B    назад"
Gnarwalkie Nail Gun,Gnarwalkie Nail Gun,格纳指甲枪,グナーウォーキーネイルガン,그나왈키 네일건,Pistola de Pregos Gnarwalkie,Pistola de Clavos Gnarwalkie,Гвоздезабивной пистолет Gnarwalkie
Trash Can,Trash Can,垃圾桶,ゴミ箱,쓰레기통,Lixeira,Papelera,Мусорное ведро
Fan,Fan,风扇,扇風機,선풍기,Ventilador,Ventilador,Вентилятор
Styrofoam Cube,Styrofoam Cube,泡沫立方体,発泡スチロールキューブ,스티로폼 큐브,Cubo de Isopor,Cubo de Poliestireno,Пенопластовый куб
Cardboard Box,Cardboard Box,纸板箱,段ボール箱,판지 상자,Caixa de Papelão,Caja de Cartón,Картонная коробка
Proprietary Water Filter,Proprietary Water Filter,专属净水器,専用浄水器,독점 정수기,Filtro de Água Exclusivo,Filtro de Agua Exclusivo,Фирменный фильтр для воды
Phone,Phone,手机,スマートフォン,스마트폰,Celular,Teléfono,Телефон
Mirror,Mirror,镜子,鏡,거울,Espelho,Espejo,Зеркало
Skateboard,Skateboard,滑板,スケートボード,스케이트보드,Skate,Patineta,Скейтборд
Monstera Deliciosa,Monstera Deliciosa,龟背竹,モンステラ・デリシオサ,몬스테라 델리시오사,Monstera Deliciosa,Monstera Deliciosa,Монстера деликатесная
Polypodiopsida,Polypodiopsida,蕨类植物,ポリポディオプシダ,폴리포디옵시다,Polypodiopsida,Polypodiopsida,Polypodiopsida
Pachypodium lamerei,Pachypodium lamerei,马达加斯加棕榈,パキポディウム・ラメレイ,파키포디움 라메레이,Pachypodium lamerei,Pachypodium lamerei,Pachypodium lamerei
Psywheel,Psywheel,念力风车,サイホイール,사이휠,Roda Psi,Rueda Psi,Псиколесо
"Vintage Arcade Game from the 90's","Vintage Arcade Game from the 90's",90年代复古街机,90年代のヴィンテージアーケードゲーム,90년대 빈티지 아케이드 게임,"Arcade Vintage dos Anos 90","Arcade Vintage de los 90","Винтажный аркадный автомат 90-х"
Searl Effect Generator,Searl Effect Generator,塞尔效应发电机,サール効果発電機,서얼 효과 발전기,Gerador do Efeito Searl,Generador del Efecto Searl,Генератор эффекта Сёрла
GEET Plasma Reactor,GEET Plasma Reactor,GEET等离子反应堆,GEETプラズマリアクター,GEET 플라즈마 반응기,Reator de Plasma GEET,Reactor de Plasma GEET,GEET плазменный реактор
Stanley Meyer Water Fuel Cell,Stanley Meyer Water Fuel Cell,斯坦利·迈耶水燃料电池,スタンリー・メイヤー水燃料電池,스탠리 마이어 수소 연료전지,Célula de Combustível de Água de Stanley Meyer,Celda de Combustible de Agua de Stanley Meyer,Водотопливный элемент Стэнли Мейера
Gallery Visitor Pass,Gallery Visitor Pass,画廊访客通行证,ギャラリー訪問者パス,갤러리 방문자 패스,Passe de Visitante da Galeria,Pase de Visitante de la Galería,Пропуск посетителя галереи
Custom Sticker Modding button,Custom Sticker Modding button,自定义贴纸改装按钮,カスタムステッカーMODボタン,커스텀 스티커 모딩 버튼,Botão de Modificação de Adesivos,Botón de Modificación de Stickers,Кнопка кастомного стикер-мода
Pick Up,Pick Up,拾取,拾う,줍기,Pegar,Recoger,Поднять
Interact,Interact,互动,インタラクト,상호작용,Interagir,Interactuar,Взаимодействовать
Play Tape,Play Tape,播放磁带,テープを再生,테이프 재생,Tocar Fita,Reproducir Cinta,Воспроизвести кассету
Toggle Power,Toggle Power,切换电源,電源を切り替え,전원 전환,Alternar Energia,Alternar Energía,Переключить питание
Turn On Fan,Turn On Fan,打开风扇,扇風機をオンにする,선풍기 켜기,Ligar Ventilador,Encender Ventilador,Включить вентилятор
Turn Off Fan,Turn Off Fan,关闭风扇,扇風機をオフにする,선풍기 끄기,Desligar Ventilador,Apagar Ventilador,Выключить вентилятор
No Power,No Power,无电源,電源なし,전원 없음,Sem Energia,Sin Energía,Нет питания
"Attempted - Latest: %s (%.1f%%)","Attempted - Latest: %s (%.1f%%)",已尝试 - 最近: %s (%.1f%%),試行済み - 最新: %s (%.1f%%),시도됨 - 최근: %s (%.1f%%),"Tentado - Último: %s (%.1f%%)","Intentado - Último: %s (%.1f%%)","Попытка — Последняя: %s (%.1f%%)"
Not attempted,Not attempted,未尝试,未試行,시도하지 않음,Não tentado,No intentado,Без попытки
No saved attempt available,No saved attempt available,无已保存的尝试,保存された試行はありません,저장된 시도 없음,Nenhuma tentativa salva disponível,No hay intento guardado disponible,Нет сохранённой попытки
Save Game,Save Game,保存游戏,ゲームを保存,게임 저장,Salvar Jogo,Guardar Juego,Сохранить игру
Check Phone,Check Phone,查看手机,スマホを確認,스마트폰 확인,Verificar Celular,Ver Teléfono,Проверить телефон
Drink Water,Drink Water,喝水,水を飲む,물 마시기,Beber Água,Beber Agua,Выпить воду
Equip Nailgun,Equip Nailgun,装备钉枪,ネイルガンを装備,네일건 장착,Equipar Pistola de Pregos,Equipar Pistola de Clavos,Взять гвоздезабивной пистолет
New Painting,New Painting,新画作,新しい絵,새 그림,Nova Pintura,Nueva Pintura,Новая картина
Switch to Landscape,Switch to Landscape,切换为横向,横向きに切り替え,가로 방향으로 전환,Mudar para Paisagem,Cambiar a Horizontal,Переключить на горизонтальный
Switch to Square,Switch to Square,切换为方形,正方形に切り替え,정사각형으로 전환,Mudar para Quadrado,Cambiar a Cuadrado,Переключить на квадратный
Not During Mission!,Not During Mission!,任务进行中！,ミッション中はできません！,미션 중에는 불가능합니다!,Não Durante a Missão!,¡No Durante la Misión!,Не во время задания!
Submit Painting,Submit Painting,提交画作,絵を提出,그림 제출,Enviar Pintura,Enviar Pintura,Отправить картину
No Mission,No Mission,无任务,ミッションなし,미션 없음,Sem Missão,Sin Misión,Нет задания
Detach Painting,Detach Painting,取下画作,絵を取り外す,그림 분리,Destacar Pintura,Desprender Pintura,Отсоединить картину
Convert Painting,Convert Painting,转换画作,絵を変換,그림 변환,Converter Pintura,Convertir Pintura,Конвертировать картину
Convert to Painting,Convert to Painting,转换为画作,絵に変換,그림으로 변換,Converter para Pintura,Convertir a Pintura,Конвертировать в картину
Canvas is Empty,Canvas is Empty,画布是空的,キャンバスが空です,캔버스가 비어 있습니다,Tela está Vazia,El Lienzo está Vacío,Холст пуст
Converting...,Converting...,转换中...,変換中...,변환 중...,Convertendo...,Convirtiendo...,Конвертация...
"Transfer Assistant's Work","Transfer Assistant's Work",传输助手的作品,アシスタントの作品を転送,어시스턴트 작품 전송,"Transferir Trabalho do Assistente","Transferir Trabajo del Asistente","Перенести работу ассистента"
Nothing to Transfer Yet,Nothing to Transfer Yet,暂无可转移内容,転送するものがありません,전송할 내용 없음,Nada para Transferir Ainda,Nada que Transferir Aún,Нечего переносить
Saving...,Saving...,保存中...,保存中...,저장 중...,Salvando...,Guardando...,Сохранение...
Undo Last Addition,Undo Last Addition,撤销上次添加,最後の追加を取り消す,마지막 추가 취소,Desfazer Última Adição,Deshacer Última Adición,Отменить последнее добавление
Nothing to Undo,Nothing to Undo,无可撤销操作,取り消すものがありません,취소할 내용 없음,Nada para Desfazer,Nada que Deshacer,Нечего отменять
"Hire Studio Assistant ($%d)","Hire Studio Assistant ($%d)",雇用工作室助手 ($%d),スタジオアシスタントを雇用 ($%d),스튜디오 어시스턴트 고용 ($%d),"Contratar Assistente de Estúdio ($%d)","Contratar Asistente de Estudio ($%d)","Нанять ассистента студии ($%d)"
"Hire Assistant ($%d)","Hire Assistant ($%d)",雇用助手 ($%d),アシスタントを雇用 ($%d),어시스턴트 고용 ($%d),"Contratar Assistente ($%d)","Contratar Asistente ($%d)","Нанять ассистента ($%d)"
Studio Assistant Active,Studio Assistant Active,工作室助手已激活,スタジオアシスタント稼働中,스튜디오 어시스턴트 활성화,Assistente de Estúdio Ativo,Asistente de Estudio Activo,Ассистент студии активен
Upgrade Unavailable,Upgrade Unavailable,升级不可用,アップグレード不可,업그레이드 불가,Melhoria Indisponível,Mejora No Disponible,Улучшение недоступно
Open Gate,Open Gate,开门,ゲートを開ける,문 열기,Abrir Portão,Abrir Puerta,Открыть ворота
Close Gate,Close Gate,关门,ゲートを閉じる,문 닫기,Fechar Portão,Cerrar Puerta,Закрыть ворота
Remove Items First,Remove Items First,请先移除物品,先にアイテムを取り除いてください,먼저 아이템을 제거하세요,Remova os Itens Primeiro,Retira los Artículos Primero,Сначала уберите предметы
Too Many Paintings,Too Many Paintings,画作太多,絵が多すぎます,그림이 너무 많습니다,Pinturas Demais,Demasiadas Pinturas,Слишком много картин
Reposition Painting,Reposition Painting,重新放置画作,絵を移動してください,그림 위치 조정,Reposicionar Pintura,Reposicionar Pintura,Переместить картину
Send Painting,Send Painting,发送画作,絵を送る,그림 보내기,Enviar Pintura,Enviar Pintura,Отправить картину
"Send Painting (1 of %d)","Send Painting (1 of %d)",发送画作 (第1幅，共%d幅),絵を送る (1/%d),그림 보내기 (1/%d개 중),"Enviar Pintura (1 de %d)","Enviar Pintura (1 de %d)","Отправить картину (1 из %d)"
Sending...,Sending...,发送中...,送信中...,전송 중...,Enviando...,Enviando...,Отправка...
No Painting Inside,No Painting Inside,内部无画作,中に絵がありません,내부에 그림 없음,Nenhuma Pintura Dentro,No hay Pintura Dentro,Внутри нет картины
Close Gate First,Close Gate First,请先关门,先にゲートを閉じてください,먼저 문을 닫으세요,Feche o Portão Primeiro,Cierra la Puerta Primero,Сначала закройте ворота
Open Sticker Folder,Open Sticker Folder,打开贴纸文件夹,ステッカーフォルダを開く,스티커 폴더 열기,Abrir Pasta de Adesivos,Abrir Carpeta de Stickers,Открыть папку стикеров
Press Button,Press Button,按下按钮,ボタンを押す,버튼 누르기,Pressionar Botão,Presionar Botón,Нажать кнопку
Pick Up Painting,Pick Up Painting,拾取画作,絵を拾う,그림 줍기,Pegar Pintura,Recoger Pintura,Поднять картину
Take Down Painting,Take Down Painting,取下画作,絵を取り外す,그림 내리기,Retirar Pintura,Retirar Pintura,Снять картину
Pick Up Plug,Pick Up Plug,拾取插头,プラグを拾う,플러그 줍기,Pegar Plugue,Recoger Enchufe,Поднять вилку
Unplug,Unplug,拔掉插头,プラグを抜く,플러그 뽑기,Desconectar,Desconectar,Отключить
Pick Up Gun,Pick Up Gun,拾取枪,銃を拾う,총 줍기,Pegar Arma,Recoger Arma,Поднять пистолет
Drop Gun,Drop Gun,放下枪,銃を落とす,총 내려놓기,Soltar Arma,Soltar Arma,Положить пистолет
Pick Up Key,Pick Up Key,拾取钥匙,鍵を拾う,열쇠 줍기,Pegar Chave,Recoger Llave,Поднять ключ
Grab Door,Grab Door,抓住门,ドアをつかむ,문 잡기,Segurar Porta,Agarrar Puerta,Взяться за дверь
Release Door,Release Door,松开门,ドアを離す,문 놓기,Soltar Porta,Soltar Puerta,Отпустить дверь
Unlock,Unlock,解锁,解錠,잠금 해제,Desbloquear,Desbloquear,Разблокировать
"Locked - Need Key","Locked - Need Key",已锁 - 需要钥匙,鍵が必要です,잠금됨 - 열쇠 필요,"Trancado - Precisa de Chave","Bloqueado - Necesita Llave","Заперто — нужен ключ"
Turn On,Turn On,打开,オンにする,켜기,Ligar,Encender,Включить
Turn Off,Turn Off,关闭,オフにする,끄기,Desligar,Apagar,Выключить
